clientes,qubits,depth,cut,entropy
3,9,1,1,0.6870728962561389
3,9,1,2,1.3532102428895674
3,9,1,3,1.8073161283751333
3,9,1,4,2.3266497900203658
3,9,1,5,2.368705099429305
3,9,1,6,1.8850725656739837
3,9,1,7,1.3455712746567894
3,9,1,8,0.6855934671556809
3,9,2,1,0.6928877877718358
3,9,2,2,1.3376502345232673
3,9,2,3,1.8761731206991055
3,9,2,4,2.4121945883307263
3,9,2,5,2.4818039915693593
3,9,2,6,2.0165488031829693
3,9,2,7,1.3746001277569466
3,9,2,8,0.692206073109199
3,9,3,1,0.6900003184943522
3,9,3,2,1.3399514042323686
3,9,3,3,1.8814149270135236
3,9,3,4,2.326426825107164
3,9,3,5,2.3152161509223337
3,9,3,6,1.8905558012476258
3,9,3,7,1.3360483768014
3,9,3,8,0.6869441176888369
3,9,4,1,0.6892669929633487
3,9,4,2,1.370106757599399
3,9,4,3,1.9997022534693052
3,9,4,4,2.4321624171818597
3,9,4,5,2.409938726356321
3,9,4,6,1.965861171255078
3,9,4,7,1.3708370675250547
3,9,4,8,0.6901119746008776
