clientes,qubits,depth,gamma,beta,chi_limit,chi_real,fidelity,infidelity,energy_error,time_mps_s,time_exact_s
3,9,2,0.15,0.1,32,16,0.9999999999999996,4.440892098500626e-16,8.952838470577262e-13,0.16755219298647717,0.013404052006080747
3,9,2,0.15,0.2,32,16,1.0000000000000009,-8.881784197001252e-16,4.675371201301459e-12,0.13549669500207528,0.01161299302475527
3,9,2,0.15,0.3,32,16,1.0,0.0,7.389644451905042e-13,0.13434762199176475,0.008756050025112927
3,9,2,0.15,0.4,32,16,1.0000000000000009,-8.881784197001252e-16,2.3590018827235326e-12,0.13549947302090004,0.008675064018461853
3,9,2,0.25,0.1,32,16,1.0,0.0,5.4711790653527714e-12,0.13543880404904485,0.008787832979578525
3,9,2,0.25,0.2,32,16,1.0000000000000009,-8.881784197001252e-16,4.149569576838985e-12,0.13474555598804727,0.00863463501445949
3,9,2,0.25,0.3,32,16,1.0000000000000009,-8.881784197001252e-16,8.327560863108374e-12,0.1347837490029633,0.00894985202467069
3,9,2,0.25,0.4,32,16,0.9999999999999996,4.440892098500626e-16,4.121147867408581e-12,0.15736245800508186,0.011265042994637042
3,9,2,0.35,0.1,32,16,1.0000000000000004,-4.440892098500626e-16,3.140598892059643e-12,0.13983500096946955,0.008519956027157605
3,9,2,0.35,0.2,32,16,1.0,0.0,1.8189894035458565e-12,0.13759518903680146,0.008152065973263234
3,9,2,0.35,0.3,32,16,1.0000000000000009,-8.881784197001252e-16,3.865352482534945e-12,0.13776266697095707,0.009176480991300195
3,9,2,0.35,0.4,32,16,1.0,0.0,5.314859663485549e-12,0.1440799940028228,0.012448541994672269
3,9,2,0.45,0.1,32,16,1.0000000000000009,-8.881784197001252e-16,2.632560835991171e-12,0.13799386902246624,0.008905284979846328
3,9,2,0.45,0.2,32,16,1.0000000000000004,-4.440892098500626e-16,3.0890845437170356e-12,0.17010262195253745,0.008997069962788373
3,9,2,0.45,0.3,32,16,1.0000000000000004,-4.440892098500626e-16,9.769962616701378e-12,0.13508466898929328,0.011479885026346892
3,9,2,0.45,0.4,32,16,1.0000000000000004,-4.440892098500626e-16,2.7569058147491887e-12,0.15625217399792746,0.010281140974257141
3,9,2,0.55,0.1,32,16,1.0000000000000009,-8.881784197001252e-16,1.900701818158268e-12,0.13559557596454397,0.011456684966105968
3,9,2,0.55,0.2,32,16,0.9999999999999998,2.220446049250313e-16,4.263256414560601e-14,0.13645362097304314,0.008958480029832572
3,9,2,0.55,0.3,32,16,1.0000000000000004,-4.440892098500626e-16,2.7551294579097885e-12,0.14261935197282583,0.009685366996563971
3,9,2,0.55,0.4,32,16,1.0000000000000004,-4.440892098500626e-16,6.608047442568932e-13,0.13661413703812286,0.01046245195902884
