rank,route,cost,probability,state_index
1,0 -> 1 -> 3 -> 2 -> 0,47.9026210958217,1.4092509913264226e-05,18465
2,1 -> 0 -> 2 -> 3 -> 1,47.902621095821694,1.4092509913264226e-05,33810
3,2 -> 0 -> 1 -> 3 -> 2,47.902621095821694,1.409250991326422e-05,33090
4,3 -> 1 -> 0 -> 2 -> 3,47.9026210958217,1.4092509913264216e-05,6180
5,1 -> 3 -> 2 -> 0 -> 1,47.9026210958217,1.4092509913264004e-05,9240
6,2 -> 3 -> 1 -> 0 -> 2,47.9026210958217,1.4092509913263997e-05,8520
7,3 -> 2 -> 0 -> 1 -> 3,47.902621095821694,1.4092509913262324e-05,4740
8,0 -> 2 -> 3 -> 1 -> 0,47.9026210958217,1.4092509913262317e-05,17025
9,0 -> 2 -> 1 -> 3 -> 0,42.34559490014939,7.883717330495238e-06,33345
10,1 -> 2 -> 0 -> 3 -> 1,42.345594900149386,7.883717330495234e-06,33300
11,0 -> 3 -> 1 -> 2 -> 0,42.34559490014939,7.883717330494923e-06,10305
12,1 -> 3 -> 0 -> 2 -> 1,42.34559490014939,7.883717330494918e-06,10260
13,2 -> 0 -> 3 -> 1 -> 2,42.345594900149386,7.883717330494804e-06,16770
14,3 -> 0 -> 2 -> 1 -> 3,42.345594900149386,7.883717330494789e-06,5250
15,3 -> 1 -> 2 -> 0 -> 3,42.34559490014939,7.883717330494655e-06,5160
16,2 -> 1 -> 3 -> 0 -> 2,42.34559490014939,7.883717330494653e-06,16680
17,1 -> 0 -> 3 -> 2 -> 1,41.806057188866504,3.801624518524229e-06,18450
18,3 -> 0 -> 1 -> 2 -> 3,41.806057188866504,3.801624518524224e-06,6210
19,0 -> 1 -> 2 -> 3 -> 0,41.806057188866504,3.8016245185241664e-06,33825
20,2 -> 1 -> 0 -> 3 -> 2,41.806057188866504,3.8016245185241596e-06,33060
