rank,route,cost,probability,state_index
1,2 -> 3 -> 1 -> 0 -> 2,47.9026210958217,1.4923006661627143e-05,8520
2,3 -> 1 -> 0 -> 2 -> 3,47.9026210958217,1.4856062200562277e-05,6180
3,0 -> 1 -> 3 -> 2 -> 0,47.9026210958217,1.4849897857237619e-05,18465
4,1 -> 3 -> 2 -> 0 -> 1,47.9026210958217,1.4771157484946558e-05,9240
5,0 -> 2 -> 3 -> 1 -> 0,47.9026210958217,1.4725717662956811e-05,17025
6,1 -> 0 -> 2 -> 3 -> 1,47.902621095821694,1.4708524140142454e-05,33810
7,3 -> 2 -> 0 -> 1 -> 3,47.902621095821694,1.468631356517511e-05,4740
8,2 -> 0 -> 1 -> 3 -> 2,47.902621095821694,1.4623787919041534e-05,33090
9,0 -> 3 -> 1 -> 2 -> 0,42.34559490014939,8.011038145295093e-06,10305
10,3 -> 0 -> 2 -> 1 -> 3,42.345594900149386,7.976039528022353e-06,5250
11,1 -> 3 -> 0 -> 2 -> 1,42.34559490014939,7.9743827800382e-06,10260
12,0 -> 2 -> 1 -> 3 -> 0,42.34559490014939,7.964633199678529e-06,33345
13,1 -> 2 -> 0 -> 3 -> 1,42.345594900149386,7.85879908998367e-06,33300
14,2 -> 0 -> 3 -> 1 -> 2,42.345594900149386,7.823011915385251e-06,16770
15,3 -> 1 -> 2 -> 0 -> 3,42.34559490014939,7.817708899023843e-06,5160
16,2 -> 1 -> 3 -> 0 -> 2,42.34559490014939,7.71612141204979e-06,16680
17,1 -> 0 -> 3 -> 2 -> 1,41.806057188866504,4.177242946453753e-06,18450
18,3 -> 0 -> 1 -> 2 -> 3,41.806057188866504,4.1359240868982174e-06,6210
19,1 -> 2 -> 3 -> 0 -> 1,41.806057188866504,4.093528442842216e-06,16920
20,3 -> 2 -> 1 -> 0 -> 3,41.806057188866504,4.079139810926465e-06,4680
