qubits,statevector_amplitudes,memory_GiB
10,1024,1.52587890625e-05
11,2048,3.0517578125e-05
12,4096,6.103515625e-05
13,8192,0.0001220703125
14,16384,0.000244140625
15,32768,0.00048828125
16,65536,0.0009765625
17,131072,0.001953125
18,262144,0.00390625
19,524288,0.0078125
20,1048576,0.015625
21,2097152,0.03125
22,4194304,0.0625
23,8388608,0.125
24,16777216,0.25
25,33554432,0.5
26,67108864,1.0
27,134217728,2.0
28,268435456,4.0
29,536870912,8.0
30,1073741824,16.0
31,2147483648,32.0
32,4294967296,64.0
33,8589934592,128.0
34,17179869184,256.0
35,34359738368,512.0
36,68719476736,1024.0
37,137438953472,2048.0
38,274877906944,4096.0
39,549755813888,8192.0
40,1099511627776,16384.0
